Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep) 
 01/01  00:05:00,9.274999999999999,78.08333333333333,0.0,0.0 
 01/01  00:10:00,8.95,78.16666666666667,0.0,0.0 
 01/01  00:15:00,8.625,78.25,0.0,0.0 
 01/01  00:20:00,8.3,78.33333333333334,0.0,0.0 
 01/01  00:25:00,7.974999999999999,78.41666666666666,0.0,0.0 
 01/01  00:30:00,7.65,78.5,0.0,0.0 
 01/01  00:35:00,7.324999999999999,78.58333333333334,0.0,0.0 
 01/01  00:40:00,7.0,78.66666666666667,0.0,0.0 
 01/01  00:45:00,6.675000000000001,78.75,0.0,0.0 
 01/01  00:50:00,6.35,78.83333333333334,0.0,0.0 
 01/01  00:55:00,6.025,78.91666666666666,0.0,0.0 
 01/01  01:00:00,5.7,79.0,0.0,0.0 
 01/01  01:05:00,5.55,79.41666666666666,0.0,0.0 
 01/01  01:10:00,5.4,79.83333333333334,0.0,0.0 
 01/01  01:15:00,5.25,80.25,0.0,0.0 
 01/01  01:20:00,5.1000000000000009,80.66666666666667,0.0,0.0 
 01/01  01:25:00,4.949999999999999,81.08333333333333,0.0,0.0 
 01/01  01:30:00,4.8,81.5,0.0,0.0 
 01/01  01:35:00,4.65,81.91666666666666,0.0,0.0 
 01/01  01:40:00,4.5,82.33333333333334,0.0,0.0 
 01/01  01:45:00,4.35,82.75,0.0,0.0 
 01/01  01:50:00,4.2,83.16666666666666,0.0,0.0 
 01/01  01:55:00,4.05,83.58333333333334,0.0,0.0 
 01/01  02:00:00,3.9,84.0,0.0,0.0 
 01/01  02:05:00,3.8999999999999996,84.16666666666667,0.0,0.0 
 01/01  02:10:00,3.9,84.33333333333333,0.0,0.0 
 01/01  02:15:00,3.9,84.5,0.0,0.0 
 01/01  02:20:00,3.9,84.66666666666667,0.0,0.0 
 01/01  02:25:00,3.8999999999999996,84.83333333333333,0.0,0.0 
 01/01  02:30:00,3.9,85.0,0.0,0.0 
 01/01  02:35:00,3.8999999999999996,85.16666666666667,0.0,0.0 
 01/01  02:40:00,3.8999999999999996,85.33333333333333,0.0,0.0 
 01/01  02:45:00,3.9,85.5,0.0,0.0 
 01/01  02:50:00,3.9,85.66666666666667,0.0,0.0 
 01/01  02:55:00,3.9,85.83333333333333,0.0,0.0 
 01/01  03:00:00,3.9,86.0,0.0,0.0 
 01/01  03:05:00,3.7916666666666667,86.41666666666666,0.0,0.0 
 01/01  03:10:00,3.6833333333333337,86.83333333333334,0.0,0.0 
 01/01  03:15:00,3.5749999999999999,87.25,0.0,0.0 
 01/01  03:20:00,3.466666666666667,87.66666666666667,0.0,0.0 
 01/01  03:25:00,3.358333333333333,88.08333333333333,0.0,0.0 
 01/01  03:30:00,3.25,88.5,0.0,0.0 
 01/01  03:35:00,3.1416666666666668,88.91666666666666,0.0,0.0 
 01/01  03:40:00,3.033333333333333,89.33333333333334,0.0,0.0 
 01/01  03:45:00,2.9250000000000004,89.75,0.0,0.0 
